"page_name","message"
"Breitbart","A pro-transgender organization explained how they use children’s books to embed gender ideology in schools and get ""in front of kids."""
"Breitbart","As working class Americans struggle to afford food in the catastrophic Biden economy, rich Hollywood Elite Hugh Jackman is focused on the real issues facing the nation."
"Breitbart","WARNING: GRAPHIC LANGUAGE -- Young people detail the complications they endured after undergoing gender reassignment (""top"" and ""bottom"") surgery."
"Breitbart","WARNING: GRAPHIC LANGUAGE -- Young people detail the complications they endured after undergoing gender reassignment (""top"" and ""bottom"") surgery."
"Breitbart","San Diego County spent $20,000 on “binders and tuckers,” articles of clothing used by individuals who present as the opposite gender."
"CNN","The Cambridge Dictionary recently updated its entries for “man” and “woman” to include transgender people – the latest dictionary to reflect evolving language around gender."
"Breitbart","DENIED: A federal appeals court has permanently blocked the Biden administration's mandate on doctors and hospitals forcing them to perform gender transition procedures."
"Breitbart","He’s not wrong."
"CNN","Gender affirming care and its providers are under threat, putting lifesaving care at risk. This week on The Assignment, Audie Cornish talks with two pediatricians to discuss what the future of their work means for trans kids. https://cnn.it/3VXmySo:=:https://www.cnn.com/audio/podcasts/the-assignment"
"Breitbart","Family values American Girl style!"
"Breitbart","The American Girl company is facing outrage over a book that promotes transgenderism to young girls."
"Breitbart","Assistant Secretary for Health Rachel Levine told those at the Pitt Pediatric Grand Rounds seminar in September that ""gender-affirming care"" is medical care, mental health care, and suicide prevention care. ""This fact is well established,"" Levine said before stating that youth who used puberty blockers and hormones are less suicidal than those who do not."
"CNN","Unlike Mexico and other Latin American countries, the US does not have a law recognizing femicide as a different crime than homicide."
"CNN","“It’s about everyone being able to feel acknowledged and represented.”"
"CNN","Local school board meetings have become venues for debates over issues like the pandemic, gender, and race. In today’s episode of the One Thing podcast with guest Audie Cornish, hear from two parent activists turned school board officials about the changes they hope to make while in power. https://cnn.it/3u5XtbY:=:https://www.cnn.com/audio/podcasts/one-thing/episodes/d04c50c2-8090-41c1-b949-af560126eb43"
"Breitbart","""We will defend the rights of parents and we will defend the family as the center of American life.”"
"Breitbart","A new guaranteed income program for transgender residents of San Francisco includes 97 gender options, plus 19 sexual orientations."
"Breitbart","FOLLOW THE MONEY: TD Bank pledged $500,000.00 to a children’s hospital’s “pediatric gender diversity program,” which performs medical interventions on children."
"Breitbart","“Disney recently hosted a ‘cultural journey’ for employees featuring a ‘Two-Spirit,’ ‘she/they,’ ‘drag queen,’ ‘merperson’ named Geo Neptune. The company is following every fad of radical gender theory, from children’s programming to pseudo-indigenous pantomime."""
"Breitbart","As working class Americans struggle to afford food and groceries, the Biden regime announced the launch of his multimillion-dollar “Climate Gender Equity Fund” to address purported inequalities women face in climate finance at the United Nations COP 27 climate conference in Egypt on Friday."
"Breitbart","""Yes, nobody likes inflation … but what I really don’t like saying to an entire gender, the federal government will decide what you will do with your reproductive organs. That doesn’t fly with the vast majority of Americans, Republican, Democrat, whatever.”"
"Breitbart","Republican Connecticut Senate candidate Leora Levy said Democrat Sen. Richard Blumenthal ""is responsible for all of the policies that have made life unaffordable here in Connecticut, that have made life unsafe in Connecticut, that have allowed the indoctrination of our children with a politicized and sexualized education, that have created an invasion at the border that has that has made Connecticut a border state, because they are flying illegals to Westchester County Airport.”"
"Breitbart","Leora Levy, Republican nominee to represent Connecticut in the U.S. Senate, emphasized Sen. Richard Blumenthal’s (D-CT) complicity in policies imposing “sexual gender ideology” upon children, an “invasion at the border,” and a rising “crime wave."""
"Breitbart","The husband of Democrat Arizona gubernatorial candidate Katie Hobbs works at a “gender affirming” children’s hospital and had a 10 year old, transgender-identifying patient."
"CNN","Dwyane Wade is firing back after his ex-wife accused him of trying to exploit their transgender daughter by applying for a legal name and gender change for the teen."
"Breitbart","VICTORY: The Florida Board of Medicine voted Friday to ban the practices of sterilizing and mutilating children in the name of “gender-affirming care.”"
"Breitbart","The Catholic League said Joe Biden’s full-bore backing of the transgender agenda even for little children is “beyond creepy.”"
"Breitbart","Virginia Gov. Glenn Youngkin (R) slammed a bill that would make parents face child abuse charges for not “affirming” their child’s gender identity or sexual orientation."
"Breitbart","FIGHTING BACK: Republican lawmakers in Michigan recently introduced a bill that would classify allowing a minor to undergo gender transition procedures as first-degree child abuse."
"Breitbart",NA
